0,なし
1,間取り
2,外観
3,地図
4,周辺
5,内装
6,なし
7,なし
8,なし
9,その他
10,玄関
11,居間
12,キッチン
13,寝室
14,子供部屋
15,風呂
16,トイレ
17,洗面
18,収納
19,設備
20,バルコニー
21,エントランス
22,駐車場
